"smed","alias"
"SMED30000608","llgl2"
"SMED30001720","capsl"
"SMED30002080","phactr"
"SMED30002881","s.02881"
"SMED30003820","rem-1"
"SMED30007813","nas-4"
"SMED30008009","pi16a"
"SMED30008087","col6a5"
"SMED30008250","s.08250"
"SMED30008832","s.08832"
"SMED30009182","s.09182"
"SMED30009860","licD"
"SMED30010228","tolloid-like-1"
"SMED30010447","arhgap8"
"SMED30010954","rab1bv"
"SMED30011806","eca"
"SMED30012004","s.12004"
"SMED30012044","dync1li"
"SMED30012207","pi16b"
"SMED30012544","tspan5"
"SMED30012932","s.12932"
"SMED30013647","slc16a4"
"SMED30013893","mmp2"
"SMED30014062","hm13"
"SMED30014784","p4hb"
"SMED30016113","s.14784"
"SMED30017161","s.16113"
"SMED30017185","ets-2"
"SMED30018255","asic-2"
"SMED30018686","s.18255"
"SMED30019227","s.18686"
"SMED30019680","prss27"
"SMED30019930","mmp-1"
"SMED30022431","calub"
"SMED30024104","plp"
"SMED30024551","fgfr2"
"SMED30025382","ano7"
"SMED30025952","fhl2"
"SMED30026378","cpa2"
"SMED30027563","rab13"
"SMED30027691","tmem214"
"SMED30027772","s.27772"
"SMED30029791","sel-9"
"SMED30031360","s.31360"
"SMED30031459","s.31459"
"SMED30031924","s.31924"
"SMED30034092","s.34092"
"SMED30034265","slc17a-10"
"SMED30034552","tspan3"
"SMED30034767","syt14"
"SMED30034978","pi16c"
"SMED30035160","ube3c"
"SMED30035521","lce"
